group_dim,group_label,q_id,p1,p2,p3,p4,p5,n
sex,Female,q10_1,0.049019607843137254,0.08986928104575163,0.16013071895424835,0.40522875816993464,0.2957516339869281,612
sex,Female,q10_2,0.029411764705882353,0.119281045751634,0.14869281045751634,0.3839869281045752,0.31862745098039214,612
sex,Female,q10_3,0.04738562091503268,0.10294117647058823,0.1568627450980392,0.3790849673202614,0.3137254901960784,612
sex,Female,q10_4,0.032679738562091505,0.0784313725490196,0.16993464052287582,0.39052287581699346,0.3284313725490196,612
sex,Male,q4_1,0.04176334106728538,0.08352668213457076,0.1716937354988399,0.39443155452436196,0.308584686774942,431
sex,Male,q4_2,0.03944315545243619,0.09048723897911833,0.16241299303944315,0.3689095127610209,0.33874709976798145,431
sex,Male,q4_3,0.03480278422273782,0.05568445475638051,0.17865429234338748,0.3805104408352668,0.3503480278422274,431
sex,Male,q4_4,0.04176334106728538,0.09744779582366589,0.19721577726218098,0.3851508120649652,0.27842227378190254,431
sex,Male,q4_5,0.04640371229698376,0.06264501160092807,0.1925754060324826,0.40835266821345706,0.2900232018561485,431
sex,Male,q4_6,0.05104408352668213,0.08584686774941995,0.1716937354988399,0.35498839907192575,0.33642691415313225,431
sex,Male,q4_7,0.027842227378190254,0.10208816705336426,0.19721577726218098,0.39211136890951276,0.28074245939675174,431
sex,Male,q5_1,0.058004640371229696,0.0951276102088167,0.1554524361948956,0.41299303944315546,0.27842227378190254,431
sex,Male,q5_2,0.03944315545243619,0.11600928074245939,0.18329466357308585,0.35962877030162416,0.30162412993039445,431
sex,Male,q5_3,0.04176334106728538,0.058004640371229696,0.18329466357308585,0.382830626450116,0.33410672853828305,431
sex,Male,q5_4,0.05104408352668213,0.09048723897911833,0.21345707656612528,0.345707656612529,0.29930394431554525,431
sex,Male,q5_5,0.048723897911832945,0.07424593967517401,0.19721577726218098,0.41067285382830626,0.2691415313225058,431
sex,Male,q5_6,0.06264501160092807,0.08584686774941995,0.1925754060324826,0.39211136890951276,0.2668213457076566,431
sex,Male,q5_7,0.04640371229698376,0.08584686774941995,0.1925754060324826,0.4013921113689095,0.2737819025522042,431
sex,Male,q5_8,0.02088167053364269,0.07888631090487239,0.16241299303944315,0.4385150812064965,0.29930394431554525,431
sex,Male,q7_1,0.03248259860788863,0.07888631090487239,0.18329466357308585,0.3851508120649652,0.32018561484918795,431
sex,Male,q7_2,0.05104408352668213,0.07888631090487239,0.17633410672853828,0.37587006960556846,0.31786542923433875,431
sex,Male,q7_3,0.048723897911832945,0.08584686774941995,0.17865429234338748,0.35730858468677495,0.3294663573085847,431
sex,Male,q7_4,0.06264501160092807,0.06960556844547564,0.1531322505800464,0.37122969837587005,0.3433874709976798,431
sex,Male,q7_5,0.04408352668213457,0.09048723897911833,0.1740139211136891,0.345707656612529,0.345707656612529,431
sex,Male,q7_6,0.04176334106728538,0.058004640371229696,0.18793503480278423,0.41067285382830626,0.30162412993039445,431
sex,Male,q9_1,0.048723897911832945,0.09976798143851508,0.1902552204176334,0.3503480278422274,0.3109048723897912,431
sex,Male,q9_2,0.05568445475638051,0.08120649651972157,0.18329466357308585,0.41531322505800466,0.26450116009280744,431
sex,Male,q9_3,0.04640371229698376,0.08584686774941995,0.1716937354988399,0.3665893271461717,0.3294663573085847,431
sex,Male,q10_1,0.030162412993039442,0.060324825986078884,0.18097447795823665,0.39443155452436196,0.33410672853828305,431
sex,Male,q10_2,0.04640371229698376,0.07192575406032482,0.1716937354988399,0.3805104408352668,0.3294663573085847,431
sex,Male,q10_3,0.030162412993039442,0.08120649651972157,0.20417633410672853,0.3480278422273782,0.33642691415313225,431
sex,Male,q10_4,0.030162412993039442,0.07888631090487239,0.18561484918793503,0.4176334106728538,0.2877030162412993,431
