synthetic_id,age,sex,city,country,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q4_7,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q6_1,q6_2,q6_3,q6_4,q6_5,q6_6,q6_7,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q8_1,q8_2,q8_3,q8_4,q8_5,q8_6,q8_7,q9_1,q9_2,q9_3,q10_1,q10_2,q10_3,q10_4
S_0020,18-21,Male,Bogor,Indonesia,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,4,3,4,3
S_0021,37-42,Female,Texas,United States,3,4,3,2,4,3,2,3,4,3,2,3,4,2,3,4,3,4,3,2,3,4,3,4,3,2,3,4,3,4,3,2,3,4,3,3,4,3,3,4,3,3
S_0022,18-21,Female,Minnesota,USA,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,4,4,3,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,4,3
S_0023,18-21,Male,"Billings, Montana",United States,3,4,3,2,3,2,4,3,4,3,2,3,2,4,3,4,3,2,3,2,3,4,3,2,3,2,3,2,4,3,3,2,3,2,3,3,4,3,3,4,3,3
S_0024,18-21,Female,Minnesota,United States of America,3,4,3,2,4,3,2,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,3,3,4,3,4
S_0025,22-26,Female,Georgia,United States of America,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,4,3,3,2,4,3,2,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,3,4
S_0026,22-26,Male,Butuan,Philippines,4,3,4,3,4,3,2,4,4,3,4,3,4,3,3,4,3,4,3,4,3,3,4,4,3,4,3,3,4,3,4,3,4,3,3,4,3,4,4,4,3,4
S_0027,22-26,Female,"Providence, UT",United States,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,4,3,4,3,4
S_0028,27-31,Male,Pangasinan,Philippines,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,4,3,4,3
S_0029,18-21,Male,Suwon,Korea,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,4,3,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,4,4,3,4,3
S_0030,18-21,Female,Kailua Hawaii,USA,4,3,4,3,2,4,3,4,3,4,2,3,4,3,2,4,3,4,3,2,3,4,3,4,3,2,4,3,4,3,4,3,2,3,4,4,3,4,4,3,4,3
S_0031,18-21,Male,Colorado,America,4,3,4,3,2,4,3,4,3,4,2,3,2,4,3,4,4,3,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,4,4,3,4,3
S_0032,37-42,Female,Pasig City,Philippines,4,3,4,3,4,3,2,4,4,3,4,3,3,4,3,4,3,4,3,4,3,3,4,3,4,3,4,3,3,4,3,4,3,3,4,4,3,4,4,4,3,4
S_0033,22-26,Male,Hebei,China,4,3,4,3,4,3,2,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,4,3,4,3
S_0034,22-26,Male,Laie,United states,4,3,4,3,2,4,3,4,3,4,3,2,4,3,4,4,3,4,2,3,4,3,4,3,4,3,4,3,3,4,3,4,3,2,3,4,3,4,4,3,4,3
S_0035,18-21,Female,Aberdeen,Scotland,3,4,3,2,4,3,2,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,3,3,4,3,2
S_0036,22-26,Female,Alberta,Canada,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,4,3,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,3,4
S_0037,22-26,Male,Ulaanbaatar,Mongolia,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,4,3,3,4,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,4,3
S_0038,18-21,Female,Spokane Washington,US,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,4,3,2,3,4,3,4,3,4,3,4
S_0039,50-58,Female,Langley,Canada,3,2,3,2,4,3,2,3,2,3,2,4,3,2,3,3,4,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,3,4,3,3,2,3,2
S_0040,43-49,Female,Tarawa,Kiribati,2,2,3,2,3,2,2,3,2,3,2,3,2,3,2,2,3,2,3,2,2,3,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3
S_0041,18-21,Male,Washington,USA,4,3,4,3,2,4,3,4,3,4,3,2,4,3,4,4,3,4,2,3,4,3,4,3,4,3,2,4,3,4,3,2,3,4,3,4,3,4,4,3,4,3
S_0042,22-26,Female,Jakarta,Indonesia,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,4,4,3,4,3,4,4,3,4,3,4,3,4,4,4,3,4,4,3,4
S_0043,22-26,Female,Puerto Vallarta,Mexico,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,4,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,3,4
S_0044,18-21,Female,Florida,United States,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,4,3,4,4,3,4,4,3,4,3
S_0045,50-58,Female,tuguegarao,philippines,3,2,3,2,4,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2,3,3,2,3,2
S_0046,18-21,Male,Port Moresby,PNG,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,3,4,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,4,4,3,4,3
S_0047,27-31,Male,Sarawak,Malaysia,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,4,3,4,3
S_0048,18-21,Female,Utah,United States,3,4,3,2,3,4,2,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,3,3,4,3,4
S_0049,43-49,Male,Arizona,United States,3,3,2,4,3,2,3,3,4,3,2,3,4,3,2,3,3,4,2,3,3,2,3,4,3,2,3,3,3,3,4,3,2,3,3,3,4,3,3,3,4,3
S_0050,66-70,Male,Port Morgan,Papua New Guinea,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,2,1,2,1
S_0051,27-31,Female,Bountiful,United States,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,4,3,3,2,3,4,3,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,3,4
S_0052,27-31,Female,"Salt Lake City, Utah",United States,4,3,4,3,2,4,3,4,3,4,3,2,4,3,4,3,4,3,2,4,3,4,4,3,4,2,3,4,3,4,3,4,2,3,4,4,3,4,3,4,3,4
S_0053,18-21,Male,General Santos City,Philippines,4,3,4,3,4,3,2,4,4,3,4,3,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,3,4,3,4,3,4,3,4,4,3,4,4,3,4,3
S_0054,27-31,Male,Utah,USA,4,3,4,3,2,4,3,4,3,4,2,3,4,3,2,4,3,4,3,2,3,4,3,4,3,2,4,3,4,3,4,3,2,3,4,4,3,4,3,4,3,4
S_0055,50-58,Female,Hamilton,New Zealand,3,2,3,2,4,3,2,3,2,3,2,3,2,4,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,3,2,3,2
S_0056,22-26,Male,Ibaraki,Japan,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,4,3,3,2,3,4,3,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,3,4
S_0057,22-26,Male,Shanghai,China,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,4,4,3,4,3,4,4,4,3,4,3,4,3,4,3,4,4,4,3,4
S_0058,22-26,Female,Puebla,Mexico,4,3,4,2,3,4,3,4,3,4,3,2,4,3,3,4,3,4,2,3,4,3,3,4,3,2,4,3,4,3,3,4,2,3,4,4,3,4,3,4,3,4
S_0059,22-26,Female,Davao City,Philippines,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3
S_0060,43-49,Male,Cebu,Philippines,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,3,4,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,4,3
S_0061,18-21,Female,Utah,United States,3,4,3,2,3,4,3,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,3,3,4,3,4
S_0062,22-26,Female,Utah,United States,3,4,3,2,4,3,2,4,3,4,3,2,4,3,2,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,3,3,4,3,2
S_0063,22-26,Female,"Albany, Oregon",United States of America,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,4,3,2,3,4,3,4,3,4,3,4
S_0064,27-31,Male,Utah,Us,4,3,4,3,2,4,3,4,3,4,2,3,4,3,2,4,3,4,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,4,4,3,4,3
S_0065,22-26,Female,Arizona,United States,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,4,2,3,4,3,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,4,3,4,3,4
S_0066,18-21,Male,Utah,United States,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,4,3,3,2,4,3,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,3,4,3,4,3
S_0067,27-31,Female,French Polynesia,Tahiti,3,4,3,2,4,3,2,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,3,3,4,3,3
S_0068,37-42,Female,Tarawa,Kiribati,3,2,3,2,4,3,2,3,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,3,2,3,3,2,3,2
S_0069,22-26,Female,Negros Occidental,Philippines,4,3,4,3,4,3,4,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,4,3,4,3
S_0070,27-31,Male,Utah,United States,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,4,3,3,4,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,3,4
S_0071,22-26,Male,Fukuoka,Japan,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,4,4,3,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,3,4
S_0072,22-26,Female,Ulaanbaatar,Mongolia,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,3,4,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,4,3
S_0073,22-26,Female,Port Moresby,Papua New Guinea,4,3,4,3,2,4,3,4,3,4,3,2,4,3,3,4,4,3,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,4,3
S_0074,18-21,Female,Auckland,New Zeland,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,3,2,4,3,2,3,4,3,2,4,3,4,3,4,3,2,3,4,4,3,3,4,3,4,3
S_0075,22-26,Male,Montana,USA,3,4,3,2,3,2,3,3,4,3,2,3,2,3,2,3,3,2,3,2,3,2,4,3,3,2,3,2,3,3,2,3,2,3,2,3,2,3,3,3,2,3
S_0076,22-26,Male,Manila,Philippines,4,3,4,3,4,3,2,4,4,3,4,3,4,3,3,4,4,3,4,3,3,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,4,3,4
S_0077,22-26,Male,Tarawa,Kiribati,3,2,3,2,3,2,3,3,3,2,3,2,3,2,3,3,2,3,2,3,2,3,3,3,2,3,2,3,3,2,3,2,3,2,3,3,2,3,3,2,3,2
S_0078,43-49,Female,Phoenix Arizona,United States,3,3,2,4,3,2,3,3,4,3,2,3,4,2,3,3,2,3,4,3,2,3,4,3,2,3,4,3,3,4,3,2,3,4,3,3,4,3,3,4,3,3
S_0079,18-21,Female,Washington,USA,4,3,4,3,2,4,3,4,3,4,2,3,4,3,2,4,3,4,3,2,3,4,3,4,3,2,3,4,4,3,2,3,4,3,2,4,3,4,4,3,4,3
S_0080,18-21,Female,Provo Utah,United States,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,4,3,4,3,4
S_0081,18-21,Male,Papua New Guinea,Papua New Guinea,3,2,3,2,3,2,3,3,3,2,3,2,3,2,3,3,2,3,2,3,2,3,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,3,2,3,2
S_0082,22-26,Female,Tarawa,Kiribati,3,2,3,2,4,3,2,3,4,3,2,3,2,4,3,3,2,3,4,3,2,3,4,3,2,3,4,3,3,4,3,2,3,4,3,3,4,3,3,4,3,3
S_0083,22-26,Female,Texas,United States,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,3,4,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,4,3
S_0084,22-26,Female,French Polynesia,Tahiti,3,4,3,2,4,3,2,4,3,4,3,2,4,3,2,3,4,3,2,3,4,2,4,3,4,3,2,3,3,4,3,2,3,4,2,4,3,3,3,4,3,2
S_0085,18-21,Female,Lubao,Philippines,4,3,4,3,4,3,2,4,4,3,4,3,4,3,3,4,3,4,3,4,3,2,4,3,4,3,4,3,4,4,3,4,3,3,2,4,3,4,4,3,4,3
S_0086,22-26,Male,North Carolina,United states,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,4,3,3,2,4,3,4,3,4,3,2,4,3,4,3,3,4,3,4,3,4,4,3,4,3
S_0087,22-26,Female,Delhi,India,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3
S_0088,22-26,Female,Tongatapu,Tonga,3,4,3,2,3,4,3,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,3,3,4,3,3
S_0089,22-26,Male,Suva,Fiji,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,3,4,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,3,4
S_0090,22-26,Female,Hawaii,USA,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,4,3,2,3,4,3,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,4,4,3,4,3
S_0091,18-21,Female,French Polynesia,Tahiti,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,4,3,3,4,3,4,4,3,4,3
S_0092,22-26,Male,Legazpi,Philippines,4,3,4,3,2,4,3,4,4,3,4,3,2,4,3,4,3,4,3,2,4,3,4,3,4,3,4,3,3,4,3,2,3,4,3,4,3,4,4,3,4,3
S_0093,18-21,Female,Newport,United States,4,3,4,3,2,4,3,4,3,4,2,3,4,3,2,4,3,4,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,4,3,4,3,4
S_0094,22-26,Male,Hyderabad,India,4,4,3,4,3,4,3,4,4,3,4,3,2,4,3,4,3,4,3,4,3,4,4,4,3,3,4,3,4,3,4,3,2,4,3,4,3,4,4,4,3,4
S_0095,18-21,Female,Kanagawa,Japan,4,3,4,3,2,4,3,4,3,4,2,3,4,3,2,4,4,3,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,4,3
S_0096,22-26,Female,manila,philippines,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3
S_0097,22-26,Female,Utah,United States,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,4,2,3,4,3,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,4,3,4,3,4
S_0098,43-49,Male,Queensland,Australia,3,3,2,4,3,2,3,3,4,3,2,3,4,3,2,3,3,2,3,4,3,2,3,4,3,2,3,3,3,2,3,4,3,2,3,3,3,4,3,3,2,3
S_0099,22-26,Male,Bangkok,Thailand,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,4,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,4,4,3,4
S_0100,18-21,Male,Pirae,"French Polynesia, Tahiti",4,3,4,3,2,4,3,4,3,4,2,3,4,3,2,4,3,4,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,4,3
S_0101,22-26,Female,Utah,USA,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,4,3,3,4,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,3,4
S_0102,18-21,Female,Utah,United States,3,4,3,2,4,3,2,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,3,3,4,3,3
S_0103,22-26,Female,Utah,US,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,4,4,3,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,4,4,3,3,4
S_0104,43-49,Female,California,United States of America,3,4,3,2,4,3,2,3,4,3,2,3,4,2,3,4,3,4,3,2,3,4,3,4,3,2,3,4,3,4,3,2,3,4,3,3,4,3,3,4,3,3
S_0105,32-36,Male,Ulaanbaatar,Mongolia,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,4,3,3,2,4,3,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,3,4,3,4,3
S_0106,32-36,Male,Wisconsin,USA,3,4,3,2,3,4,3,3,4,3,2,3,4,2,3,4,3,3,2,3,4,3,3,4,3,2,3,3,4,3,2,3,4,3,2,3,4,3,3,4,3,3
S_0107,22-26,Male,"Tooele, UT",United States,3,4,3,2,4,3,2,4,3,4,3,2,4,3,3,3,4,3,2,3,4,2,4,3,4,3,2,3,3,4,3,2,3,4,3,3,4,3,3,4,3,3
S_0108,22-26,Male,Oregon,America,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,3,2,4,3,2,3,4,3,2,4,3,4,3,4,3,2,3,4,4,3,3,4,3,3,4
S_0109,22-26,Male,Hawaii,USA,4,3,4,3,4,3,2,4,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,4,3,4,3,2,4,3,4,3,4,3,2,4,3,4,3,4,3,4
S_0110,27-31,Male,Santiago City,Philippines,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,4,3,4,3
S_0111,50-58,Female,Pangasinan,Philippines,3,2,3,2,4,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,3,2,3,2
S_0112,22-26,Male,Utah,United states,4,3,4,3,2,4,3,4,3,4,3,2,4,3,4,4,3,4,3,2,3,4,3,4,3,2,4,3,4,3,4,3,2,4,3,4,3,4,3,4,3,4
S_0113,22-26,Female,Camarines Sur,Philippines,4,3,4,3,4,3,4,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3
S_0114,22-26,Female,Pangasinan,Philippines,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,4,3,4,3
S_0115,22-26,Female,Martinsburg,United States,3,4,3,2,4,3,2,4,3,4,3,2,4,3,3,3,4,3,2,4,3,2,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,3,3,4,3,4
S_0116,22-26,Female,Texas,united states of america,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,4,3,3,2,3,4,4,3,4,3,2,3,4,3,4,2,3,4,3,4,3,4,4,3,4,3
S_0117,50-58,Female,"Naga City, Camarines Sur",Philippines,3,2,3,2,3,2,3,3,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,3,2,3,3,2,3,2
S_0118,18-21,Female,CO,United States,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,4,3,4,3,4
S_0119,50-58,Female,West Virginia,USA,2,2,3,2,3,2,2,3,2,3,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3
S_0120,27-31,Female,Camarines Sur,Philippines,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,4,3,4,3
S_0121,22-26,Female,Wisconsin,USA,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,3,4,3,3,4
S_0122,22-26,Female,Utah,United States,4,3,4,3,2,3,4,4,3,4,3,2,3,4,3,4,4,3,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,3,4
S_0123,22-26,Female,"Bluffdale, Utah",USA,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,4,2,3,4,3,3,4,3,2,4,3,4,3,4,3,2,4,3,4,3,4,4,3,4,3
S_0124,22-26,Male,Cebu City,Philippines,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3
S_0125,22-26,Male,Arizona,Usa,4,3,4,3,2,4,3,4,3,4,2,3,4,3,2,4,3,4,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,4,4,3,4,3
S_0126,27-31,Male,Davao City,Philippines,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,4,3,4,3
S_0127,27-31,Female,Surakarta,Indonesia,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,4,3,4,4
