source_human_id,response_id,age,generation,sex,country,city,fam_1,fam_2,fam_3,fam_4,fam_5,fam_6,fam_7,use_1,use_2,use_3,use_4,use_5,use_6,use_7,use_8,use_9,use_10,use_11,risk_1,risk_2,risk_3,risk_4,risk_5,risk_6,fam_1_norm,fam_2_norm,fam_3_norm,fam_4_norm,fam_5_norm,fam_6_norm,fam_7_norm,use_1_norm,use_2_norm,use_3_norm,use_4_norm,use_5_norm,use_6_norm,use_7_norm,use_8_norm,use_9_norm,use_10_norm,use_11_norm,risk_1_norm,risk_2_norm,risk_3_norm,risk_4_norm,risk_5_norm,risk_6_norm
H_0017,R_1eRcMbAd0elu6bE,43-49,older Gen X,Female,Canada,Cardston,2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,5,5,5,5,5,5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
H_0018,R_3DtGLS8PfHfUXwk,22-26,older Gen Z,Female,Usa,Ohio,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,2,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25
H_0019,R_1JPHXt1M1z7ekEp,22-26,older Gen Z,Female,United States,Wyoming,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,4,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,1.0,0.75,1.0,0.0
H_0020,R_3lFewF0PW8Dl0xL,22-26,younger Millennials,Female,Philippines,Hawaii,5,5,5,5,5,5,3,2,3,2,2,2,2,2,2,3,2,1,5,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0
H_0021,R_3L5ptBKktFaRKR9,22-26,older Gen Z,Female,Philippines,Bacolod City,4,5,4,5,5,5,3,4,4,3,1,1,1,1,4,3,1,1,4,5,5,4,5,1,0.75,1.0,0.75,1.0,1.0,1.0,0.5,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.75,1.0,1.0,0.75,1.0,0.0
H_0022,R_3D1nkWcfoCfJLIo,22-26,older Gen Z,Female,Philippines,Cebu,3,3,3,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,5,5,4,3,5,2,0.5,0.5,0.5,0.25,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.5,1.0,0.25
H_0023,R_1GDMhvUq2YOck9u,37-42,older Millennials,Female,United States,Utah,2,2,2,2,3,2,3,1,1,1,1,1,1,1,1,2,1,1,5,5,5,5,5,2,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25
H_0024,R_Y3NfLIzIQVYpYbf,18-21,younger Gen Z,Female,Mexico,Veracruz,4,3,3,4,3,1,4,4,1,1,2,4,1,1,4,3,5,5,5,1,1,3,5,3,0.75,0.5,0.5,0.75,0.5,0.0,0.75,0.75,0.0,0.0,0.25,0.75,0.0,0.0,0.75,0.5,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.5
H_0025,R_1pG8njqoprA6oXS,37-42,older Millennials,Female,America,Utah,3,2,2,3,5,4,3,1,1,1,1,1,1,1,2,1,1,1,5,5,5,5,5,5,0.5,0.25,0.25,0.5,1.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
H_0026,R_2viA7ruiIjPLXtP,18-21,younger Gen Z,Female,United States,San diego,3,5,4,2,4,4,3,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,0.5,1.0,0.75,0.25,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5
H_0027,R_1jlmL6MgxbFh9u4,50-58,younger Gen X,Female,Usa,Hawaii,5,5,5,5,5,5,5,5,4,4,3,3,3,3,4,3,3,3,5,5,5,5,5,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.75
H_0028,R_5iDfPQXmAlajW93,18-21,younger Gen Z,Female,United States of America,Florida,5,5,4,5,5,5,4,2,1,2,1,1,2,3,3,4,1,1,5,5,4,5,5,2,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.25,0.0,0.25,0.0,0.0,0.25,0.5,0.5,0.75,0.0,0.0,1.0,1.0,0.75,1.0,1.0,0.25
H_0029,R_2duzvXOmPtaLE69,18-21,older Gen Z,Female,United States,Utah,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,4,5,4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.75,1.0,0.75
H_0030,R_3f0PtYuo2yxDN2F,22-26,older Gen Z,Female,United States,"Boise, Idaho",3,5,3,4,5,5,4,3,3,2,1,1,3,1,3,1,1,1,5,5,4,3,5,3,0.5,1.0,0.5,0.75,1.0,1.0,0.75,0.5,0.5,0.25,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.75,0.5,1.0,0.5
H_0031,R_2U6s407aG6mlehz,22-26,older Gen X,Female,United States of America,Colorado,4,5,4,4,5,5,4,4,1,1,1,2,5,1,1,4,4,1,5,5,5,5,5,2,0.75,1.0,0.75,0.75,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.75,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.25
H_0032,R_1mErGdVadIpc5sc,50-58,older Gen X,Female,USA,Colorado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25
H_0033,R_cU99WxXaTsy73q1,18-21,younger Gen Z,Female,United States,Bluffdale Utah,3,4,3,1,4,4,2,1,1,1,1,1,1,1,2,1,1,1,5,5,5,5,5,1,0.5,0.75,0.5,0.0,0.75,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
H_0034,R_b70WG7So55NR0uR,18-21,older Gen Z,Female,USA,Hawaii,3,5,3,1,4,5,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,0.5,1.0,0.5,0.0,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
H_0035,R_pAFqofehVc8jAZ3,22-26,older Gen Z,Female,Philippines,Santa Barbara,5,5,4,3,4,3,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,5,4,1.0,1.0,0.75,0.5,0.75,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,1.0,1.0,0.75
H_0036,R_3emCtutLfRwzCjD,18-21,older Gen Z,Female,Philippines,Baguio City,3,4,2,4,4,4,4,2,1,2,1,1,3,1,1,2,1,1,4,5,4,5,5,3,0.5,0.75,0.25,0.75,0.75,0.75,0.75,0.25,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.75,1.0,0.75,1.0,1.0,0.5
H_0037,R_3CPE34jl7fkjV8C,22-26,older Gen Z,Female,USA,Texas,4,5,4,4,5,5,3,4,4,3,2,1,3,1,3,1,1,1,5,5,5,5,5,2,0.75,1.0,0.75,0.75,1.0,1.0,0.5,0.75,0.75,0.5,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25
H_0038,R_xAzQImGzh3tTvTX,22-26,older Gen Z,Female,US,HI,4,4,4,4,4,4,4,5,5,5,1,1,5,5,5,1,1,1,5,5,5,5,5,5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
H_0039,R_3kjtpVFJE3nUpme,18-21,younger Gen Z,Female,Japan,Tokyo,4,4,2,3,4,4,5,4,4,4,4,4,4,2,4,1,1,1,5,5,5,5,5,4,0.75,0.75,0.25,0.5,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75
H_0040,R_aaeRALiF4fUXsZ3,22-26,older Gen Z,Female,United States,Utah,3,2,4,2,3,3,2,1,2,2,1,1,1,1,4,1,1,1,5,5,4,4,5,1,0.5,0.25,0.75,0.25,0.5,0.5,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0.75,0.75,1.0,0.0
H_0041,R_2y12B0tVhClD7y5,22-26,Silent Generation,Female,"Tahiti, French Polynesia","Punaauia, Taravao, and Papeete",5,5,5,5,5,5,5,5,4,4,1,3,5,4,5,4,2,1,5,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.0,0.5,1.0,0.75,1.0,0.75,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0
H_0042,R_9vprzRAiYnBeOA1,27-31,younger Millennials,Female,United States,Hawaii,4,5,3,4,5,4,4,4,4,4,4,1,4,2,5,1,2,1,5,5,5,5,5,3,0.75,1.0,0.5,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.25,1.0,0.0,0.25,0.0,1.0,1.0,1.0,1.0,1.0,0.5
H_0043,R_1NreZAftqlp6boZ,22-26,younger Millennials,Female,America,Ohio,4,4,3,5,4,5,2,1,2,1,1,1,1,1,1,3,1,1,5,5,5,5,5,1,0.75,0.75,0.5,1.0,0.75,1.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
H_0044,R_27VRnObcfQFutPy,37-42,younger Millennials,Female,United States,Texas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
H_0045,R_uwX6NJIrsE6O2K5,22-26,older Gen Z,Female,Philippines,Digos City,5,5,5,4,5,5,5,4,4,4,1,1,1,1,4,1,1,1,5,5,5,5,5,5,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
H_0046,R_3CUHKPC7jy0cFDX,27-31,younger Millennials,Female,Philippines,Cebu,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,4,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75
H_0047,R_2t5b7IRWN40D406,27-31,younger Millennials,Female,Sāmoa,Hawaii,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,5,4,5,2,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,1.0,0.75,1.0,0.25
H_0048,R_3R87JuW8bkRYsN4,22-26,younger Millennials,Female,Philippines,Camarines Sur,4,5,4,5,5,5,5,4,4,4,1,3,5,5,5,4,1,1,3,5,3,5,5,2,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.0,0.5,1.0,1.0,1.0,0.75,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.25
H_0049,R_1hzBymVze5FHDiD,22-26,younger Gen Z,Female,Philippines,Pangasinan,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5
H_0050,R_1IaxAKdDy9vgU7E,18-21,younger Gen Z,Female,Philippines,Pangsinan,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
H_0051,R_1igtzhZCO3LpBNH,22-26,older Gen Z,Female,United States,Utah,3,4,3,3,4,3,3,4,4,2,3,1,1,1,1,1,1,1,2,4,4,4,5,1,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.75,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.75,0.75,1.0,0.0
H_0052,R_1P1nMUK3CDSSWBX,59-64,younger Baby Boomers,Female,USA,Utah,4,2,4,3,4,2,2,2,1,1,2,2,1,2,1,1,1,1,5,5,5,5,5,2,0.75,0.25,0.75,0.5,0.75,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25
H_0053,R_33svzmpxLf8dm8N,22-26,older Millennials,Female,Mexico,Monterrey,5,4,3,4,3,4,2,1,1,1,1,1,1,1,1,1,3,1,2,3,5,5,5,4,1.0,0.75,0.5,0.75,0.5,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.5,1.0,1.0,1.0,0.75
H_0054,R_2P0wSrzoE7VI2H6,27-31,younger Millennials,Female,USA,"Anchorage, AK",4,5,2,1,4,4,4,2,3,1,2,1,1,1,2,1,1,1,5,5,5,5,5,5,0.75,1.0,0.25,0.0,0.75,0.75,0.75,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
H_0055,R_A6ZdmE3ky6BAkWR,22-26,older Gen Z,Female,America,Colorado,2,5,2,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,5,5,5,5,5,2,0.25,1.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25
H_0056,R_diGQQMWIP6ySfQZ,27-31,older Millennials,Female,United States,Iowa,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
H_0057,R_3LZ1VyNsIxcEJmK,32-36,older Millennials,Female,United States,Nevada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,1.0,1.0,1.0,0.0
H_0058,R_1C3jwtawJTK9isP,50-58,younger Gen X,Female,United States,Arizona,1,4,1,1,1,3,1,1,1,1,5,1,1,1,1,1,1,1,5,5,5,5,5,3,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5
H_0059,R_D0lvRs0mpJ9a6Hv,50-58,younger Gen X,Female,United States,Utah,3,3,4,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,2,4,4,3,5,3,0.5,0.5,0.75,0.25,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.75,0.5,1.0,0.5
H_0060,R_1fiK4KdsAnMmSrD,18-21,older Gen Z,Female,USA,Utah,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,3,4,3,4,5,3,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.5,0.75,1.0,0.5
H_0061,R_2wTg7Q60fxuklra,32-36,younger Millennials,Female,United States,San Diego,3,5,3,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,5,5,4,3,5,2,0.5,1.0,0.5,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.5,1.0,0.25
H_0062,R_3nNT7veQ25p0jM9,22-26,older Millennials,Female,Wisconsin,Ladysmith,5,5,5,3,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,4,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,1.0,0.75
H_0063,R_XMRKZTfTf6XRPSp,22-26,older Gen Z,Male,United states,Draper Utah,5,5,5,3,5,4,2,4,2,2,1,1,5,1,2,1,1,1,5,5,3,4,5,3,1.0,1.0,1.0,0.5,1.0,0.75,0.25,0.75,0.25,0.25,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,1.0,0.5,0.75,1.0,0.5
H_0064,R_2eR8KSOarNWBl4p,18-21,younger Gen Z,Male,Japan,Saitama,3,3,2,1,5,1,5,2,1,2,1,3,1,1,1,1,1,1,5,5,5,5,5,5,0.5,0.5,0.25,0.0,1.0,0.0,1.0,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
H_0065,R_1ruGr6dOgtp8EZl,22-26,younger Gen Z,Male,Philippines,Bacolod,3,3,3,3,2,3,4,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,3,0.5,0.5,0.5,0.5,0.25,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.5
H_0066,R_bp9pgWYlItbNqtb,22-26,younger Millennials,Male,United States of America,Georgia,3,4,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,0.5,0.75,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5
H_0067,R_3O02IN5BuYSPNgK,27-31,younger Millennials,Male,Philippines,Pasuquin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.75,1.0,0.0
H_0068,R_3hbSuXKb5MSuiS2,27-31,younger Gen X,Male,Kiribati,Tarawa,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
H_0069,R_VVh6qNqnoPJfpDP,18-21,younger Gen Z,Male,Japan,Okinawa,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
H_0070,R_2w5mYu7UsYTF9Yp,18-21,younger Gen Z,Male,PHILIPPINES,Bulacan,5,5,5,5,5,5,5,4,5,5,3,1,5,1,1,3,5,3,5,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
H_0071,R_3QJGY4953wRK7cn,50-58,younger Gen X,Male,United States of America,Utah,2,5,2,3,4,4,3,2,1,1,2,1,2,1,2,1,1,1,5,5,4,5,5,2,0.25,1.0,0.25,0.5,0.75,0.75,0.5,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,1.0,1.0,0.75,1.0,1.0,0.25
H_0072,R_2OYZK2cpwqKF6xI,22-26,older Millennials,Male,Philippines,Pasig City,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
H_0073,R_xt3b5ySTyo2ROhz,27-31,younger Millennials,Male,USA,Utah,3,3,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,0.5,0.5,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
H_0074,R_3iX1HoMVhEutP3e,22-26,younger Millennials,Male,United States,Utah,4,5,3,4,5,5,4,2,3,3,1,3,1,1,1,2,1,1,3,4,4,3,5,5,0.75,1.0,0.5,0.75,1.0,1.0,0.75,0.25,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.75,0.75,0.5,1.0,1.0
H_0075,R_2e29mhOpfOUU2F1,27-31,younger Millennials,Male,Aotearoa,Hastings,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
H_0076,R_28Vb0FOKu0lq27u,18-21,younger Gen Z,Male,Japan,Japan,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,4,4,5,5,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.25,0.75,0.75,1.0,1.0,1.0,0.75
