RecordedDate,ResponseId,age,sex,country,city,source_human_id
2023-05-23 21:09:18,R_3Ray7KYT1xEpqtP,22-26,Female,Argentina,San Martín de los Andes,H_0150
2023-05-17 18:10:54,R_3qW3gSCgp3Bll19,22-26,Female,French Polynesia,"Tahiti, Paea",H_0151
2023-05-23 04:22:52,R_9vprzRAiYnBeOA1,27-31,Female,United States,Hawaii,H_0152
2023-05-19 16:47:36,R_3yoquRYGLe51fkB,22-26,Female,Philippines,manila,H_0153
2023-05-09 23:07:17,R_2ahLacxIsXsjli9,43-49,Female,Philippines,Naga Cith,H_0154
2023-05-20 18:27:33,R_2dBhmpNgUaWhO1b,18-21,Female,United States,California,H_0155
2023-05-22 14:16:55,R_21h3uW2YgmaSZGl,27-31,Male,Philippines,DAGUPAN,H_0156
2023-05-24 08:43:39,R_2v81rln5Cwt1zuU,18-21,Female,United States,Colorado,H_0157
2023-05-21 01:38:10,R_3OoyXQL6bKePMM7,27-31,Female,Malaysia,Sarawak,H_0158
2023-05-12 13:38:59,R_1cYsvnrjC8QSQuZ,27-31,Female,United States,Utah,H_0159
2023-05-12 17:29:19,R_1gc2TzakOWsFIlF,50-58,Male,United States,ARIZONA,H_0160
2023-05-25 03:12:21,R_qw4PT0mrsPitMuB,22-26,Female,Philippines,Tuguegarao,H_0161
2023-05-21 15:56:58,R_8G7n20UX2xLygTL,18-21,Female,French Polynesia,Papeete,H_0162
2023-05-10 11:44:24,R_1gpdyP8MGqNPwFK,18-21,Male,United States,Utah,H_0163
2023-05-09 02:36:30,R_OCkkZnQhwkEWkmJ,27-31,Female,Fiji,Suva,H_0164
2023-05-22 17:37:21,R_3oXasBmp1rt28cj,22-26,Female,United States,American Samoa,H_0165
2023-05-22 22:01:13,R_cSAfgHk7RXDP09r,22-26,Male,United States,Hawaii,H_0166
2023-05-23 12:14:00,R_1IgFYf9H553fWin,32-36,Female,United States,Oregon,H_0167
2023-05-11 18:03:07,R_3rNuEtXbqS1EgkQ,50-58,Male,United States,Utah,H_0168
2023-05-08 08:48:19,R_1DMBjHVPWBL6YDg,22-26,Male,United States,Provo Utah,H_0169
2023-05-13 01:37:35,R_2e29mhOpfOUU2F1,27-31,Male,New Zealand,Hastings,H_0170
2023-05-12 13:15:18,R_3L5ptBKktFaRKR9,22-26,Female,Philippines,Bacolod City,H_0171
2023-05-24 02:33:48,R_3qa0bwZze07owBu,27-31,Male,South Korea,Suwon,H_0172
2023-05-22 15:07:26,R_3lYVndjwIk53OBw,22-26,Female,Mongolia,Ulaanbaatar,H_0173
2023-05-13 03:33:33,R_6S94Dwz9TgGILKx,18-21,Male,United States,Oklahoma,H_0174
2023-05-24 06:32:04,R_273DzWO6kH0FWbE,18-21,Female,United States,Palo alto,H_0175
2023-05-08 23:22:02,R_1igtzhZCO3LpBNH,22-26,Female,United States,Utah,H_0176
2023-05-17 17:45:14,R_1psBYv5oj8RrlaH,22-26,Male,United States,"Laie, Hawaii",H_0177
2023-05-11 22:54:04,R_bmx1qQIlQtQN9nP,22-26,Female,New Zealand,Hamilton,H_0178
2023-05-12 19:51:58,R_D0lvRs0mpJ9a6Hv,50-58,Female,United States,Utah,H_0179
2023-05-11 01:18:03,R_2c5gTYUvEZrj9OJ,22-26,Male,Japan,Saitama,H_0180
2023-05-12 01:01:41,R_3lYqfMtooxJh0P4,18-21,Female,United States,"Sandy, Utah",H_0181
2023-05-26 11:20:02,R_33qLEoJKVk7Z4U1,22-26,Female,Philippines,Taguig City,H_0182
2023-05-10 13:35:25,R_29tchBGV131zLfP,27-31,Male,Papua New Guinea,Port Moresby,H_0183
2023-05-11 07:43:33,R_2eR8KSOarNWBl4p,18-21,Male,Japan,Saitama,H_0184
2023-05-12 23:15:22,R_2CHYCMdKeR7zmRM,22-26,Male,Philippines,Davao,H_0185
2023-05-10 20:44:53,R_1OrT5rX7S3MhWLQ,22-26,Female,Indonesia,Surakarta,H_0186
2023-05-18 03:42:03,R_1LBcybBwEkaEtdc,22-26,Female,Philippines,,H_0187
2023-05-30 14:21:39,R_2DMo0xTB65emSZd,22-26,Male,Japan,Nara,H_0188
2023-05-23 02:16:19,R_2QAQP6TLrEWnc58,18-21,Male,United States,Oklahoma,H_0189
2023-05-19 14:36:35,R_6A68aUN3OEHDgIx,18-21,Female,Japan,Shizuoka,H_0190
2023-05-10 12:38:36,R_2cuBN3cVd9Ij7Qa,18-21,Female,United States,Utah,H_0191
2023-05-28 07:36:18,R_5cqQ1gKcv8nLZQZ,22-26,Male,United States,Colorado,H_0192
2023-05-11 11:10:52,R_1Inr4QwECX7CZVG,22-26,Female,United States,Utah,H_0193
2023-05-23 01:25:46,R_2Y97STr5gv3Xldk,27-31,Female,United States,Oregon,H_0194
2023-05-23 06:37:55,R_1mzoDTXzTJjDFsm,50-58,Male,United States,Washington,H_0195
2023-05-17 16:02:58,R_3nrcoVZs29R0OEs,18-21,Male,United States,"Wichita Falls, Texas",H_0196
2023-05-23 03:03:04,R_pi6tOMIBh8QSNyN,27-31,Male,Papua New Guinea,Papua New Guinea,H_0197
2023-05-27 21:04:59,R_8BKxhSL8dQwSgWB,18-21,Male,Brazil,São Paulo,H_0198
2023-05-22 13:21:39,R_3f0PtYuo2yxDN2F,22-26,Female,United States,"Boise, Idaho",H_0199
2023-05-23 00:01:10,R_pAFqofehVc8jAZ3,22-26,Female,Philippines,Santa Barbara,H_0200
2023-05-21 00:59:06,R_2viA7ruiIjPLXtP,18-21,Female,United States,San diego,H_0201
2023-05-17 09:15:14,R_zcz5DT9Dc0WYrZf,22-26,Female,United States,"Salt Lake City, UT",H_0202
2023-05-16 20:55:31,R_cZ9xbycx2TGtnlT,43-49,Male,United States,Hawaii,H_0203
2023-05-22 13:59:42,R_1eLCfAJ97xVhrTQ,22-26,Male,Philippines,Cabanatuan,H_0204
2023-05-23 00:14:46,R_2aQxxPdcRfl31m9,22-26,Female,Philippines,Pangasinan,H_0205
2023-05-11 02:15:32,R_DCQscPkZ2FIAR0J,18-21,Female,Tonga,Nuku'alofa,H_0206
2023-05-29 22:53:06,R_1pQpDNvoAp4D6Nb,22-26,Female,China,Sichuan,H_0207
2023-05-17 14:53:03,R_2zzS079NiOhtJci,18-21,Female,United States,Brigham City Utah,H_0208
2023-05-11 17:51:50,R_sO0ySylGQiDJ4nn,22-26,Male,Mongolia,Ulaanbaatar,H_0209
2023-05-23 01:21:51,R_24FXNx8IGLdQM2v,22-26,Female,Japan,Fukuoka,H_0210
2023-05-18 14:18:53,R_2zOpL7q0gkRPCL1,18-21,Male,Japan,Kanagawa,H_0211
2023-05-22 05:13:47,R_1GI94i8viZosN63,32-36,Male,Japan,Fukoyoka,H_0212
2023-05-23 03:15:21,R_3krgE1XzGzY5Db3,50-58,Female,United States,Hawaii,H_0213
2023-06-01 10:07:51,R_3oN5IRqNE9gHHki,22-26,Male,Philippines,Pangasinan,H_0214
2023-05-30 02:48:57,R_12tzSXOkhaF8vzD,27-31,Male,Sri Lanka,colombo,H_0215
2023-05-11 23:32:23,R_1ocq7KLmRx87LsK,22-26,Female,United States,"Burley, Idaho",H_0216
2023-05-23 01:15:00,R_3emCtutLfRwzCjD,18-21,Female,Philippines,Baguio City,H_0217
2023-05-13 03:26:52,R_cNiaK1lePrAut1v,22-26,Male,Philippines,Antipolo City,H_0218
2023-05-21 02:57:35,R_2P7r9Evtkt46Iji,22-26,Male,India,Delhi,H_0219
2023-05-08 21:13:24,R_3fxZOm5t44twFqJ,22-26,Male,Philippines,Southern Leyte,H_0220
2023-05-14 16:45:28,R_32IXqtO61ym42kb,18-21,Female,Pakistan,Punjab,H_0221
2023-05-14 01:15:51,R_9T5BWDnSYck86EV,27-31,Female,United States,Utah,H_0222
2023-05-17 17:59:54,R_1IiQtKXnW5lHFA3,18-21,Female,French Polynesia,Papeete,H_0223
2023-05-10 12:10:40,R_3RqKdgthfDyznua,18-21,Female,United States,Arizona,H_0224
2023-05-22 12:52:29,R_2Qm0MqpVMmy43IG,22-26,Male,Canada,British Columbia,H_0225
2023-05-22 08:44:28,R_3OhDFi9k1ikrFa9,27-31,Male,United States,Colorado,H_0226
2023-05-11 23:03:50,R_2qE6A9mDiE9IGSK,22-26,Female,Philippines,Malaybalay,H_0227
2023-05-23 14:25:19,R_yCTqFwQeXOSmhcB,22-26,Male,United States,oceanside,H_0228
2023-05-22 21:34:25,R_1N52kxfpsDSHYx0,18-21,Female,Papua New Guinea,Port Moresby,H_0229
2023-05-22 12:59:19,R_129Ef1NiuGVqJNS,22-26,Male,United States,Utah,H_0230
2023-05-23 03:19:00,R_3E9zeEUFWSSTQq6,27-31,Female,Philippines,Cebu,H_0231
2023-05-22 12:59:06,R_cvVDoWWpaxp1SSJ,22-26,Female,Philippines,Pangasinan,H_0232
2023-05-20 19:32:45,R_Y3NfLIzIQVYpYbf,18-21,Female,Mexico,Veracruz,H_0233
2023-05-16 21:21:17,R_1eRcMbAd0elu6bE,43-49,Female,Canada,Cardston,H_0234
2023-05-17 11:42:45,R_3fT7RmyymnP7zV7,22-26,Female,French Polynesia,Tahiti/Pirae,H_0235
2023-05-29 06:05:27,R_11avagX8VOkSb3w,22-26,Female,Tonga,Nuku’alofa,H_0236
2023-05-24 03:26:28,R_3siY4fEieA1CmRl,22-26,Male,Philippines,Dagupan,H_0237
2023-05-16 21:34:12,R_WfHEKrwUGfjtZHX,18-21,Female,United States,"Cedar Hills, Utah",H_0238
2023-05-24 02:03:07,R_AFktj9jovOiol9v,22-26,Male,Samoa,Apia Samoa,H_0239
2023-05-23 02:30:48,R_32WveucH3m6zxET,18-21,Female,Laie,Hawaii,H_0240
2023-05-22 21:27:23,R_1KdTdE6Lb70Lrwn,18-21,Female,United States,Minnesota,H_0241
2023-05-16 05:02:46,R_1CKgegYchAgRmto,22-26,Female,Philippines,Legazpi,H_0242
2023-05-24 13:01:30,R_3CUHKPC7jy0cFDX,27-31,Female,Philippines,Cebu,H_0243
2023-05-12 02:52:05,R_2dK17J1d9nzd35M,22-26,Male,Philippines,Pasuquin,H_0244
2023-05-19 18:08:08,R_emSjrgYfp3ON5XH,22-26,Male,Philippines,Tarlac,H_0245
2023-05-20 00:58:13,R_1CqGGAfpjdGGL2j,22-26,Male,Papua New Guinea,Port Moresby,H_0246
2023-05-23 18:39:10,R_2cnqx1Ktyyl1dWR,18-21,Female,United States,Minnesota,H_0247
2023-05-25 21:41:21,R_2V4na9SYJ56u5pG,27-31,Male,United States,Idaho,H_0248
2023-05-16 01:13:18,R_2QzmYn5KHx6ZwTE,22-26,Female,Utah,Highland,H_0249
2023-05-22 22:18:41,R_Pvdqk48cN3q5nQR,22-26,Female,United States,Utah,H_0250
2023-05-30 00:07:45,R_2yqMajgbxz8RlFA,37-42,Male,United States,Oregon,H_0251
2023-05-10 15:04:46,R_3k4X2l9iLWKQaex,22-26,Male,New Zealand,Hawkes Bay,H_0252
2023-05-14 00:22:11,R_1rlI7mF1leBwELr,27-31,Female,Malaysia,bintulu,H_0253
2023-05-11 14:58:54,R_rfNHxzdh5ekGKo9,18-21,Female,United States,Washington,H_0254
2023-05-13 00:40:14,R_1Cg4nZL0ya9yMQz,22-26,Female,Philippines,Caloocan city,H_0255
2023-05-25 04:17:13,R_3J280oZcUzSV8BD,22-26,Female,Canada,BC,H_0256
2023-05-12 11:42:46,R_1n3C0YBajIIqca4,22-26,Male,Philippines,"Palawan, Puerto Prinsesa City",H_0257
2023-05-13 03:39:42,R_33sruzLGX24l00j,22-26,Male,Philippines,Negros Occidental,H_0258
2023-05-25 03:23:34,R_1OTAaqI0DDQOM6R,27-31,Male,Papua New Guinea,Port Moresby,H_0259
2023-05-17 11:33:16,R_1fiK4KdsAnMmSrD,18-21,Female,United States,Utah,H_0260
2023-05-26 16:33:50,R_sFfCd7t98WtSszT,22-26,Male,United States,"Clearfield, Utah",H_0261
2023-05-19 19:23:06,R_3KPF0znnOU5rxUr,22-26,Female,United States,Hawaii,H_0262
2023-05-22 22:41:29,R_9TY2PpGLMnfxvHj,50-58,Male,United States,colorado,H_0263
2023-05-10 12:48:22,R_prOwkVEp6hEDzwd,27-31,Female,United States,Utah,H_0264
