synthetic_id,age,sex,country,city
S_0059,22-26,Female,Philippines,Davao City
S_0060,43-49,Male,Philippines,Cebu
S_0061,18-21,Female,United States,Utah
S_0062,22-26,Female,United States,Utah
S_0063,22-26,Female,United States of America,"Albany, Oregon"
S_0064,27-31,Male,Us,Utah
S_0065,22-26,Female,United States,Arizona
S_0066,18-21,Male,United States,Utah
S_0067,27-31,Female,Tahiti,French Polynesia
S_0068,37-42,Female,Kiribati,Tarawa
S_0069,22-26,Female,Philippines,Negros Occidental
S_0070,27-31,Male,United States,Utah
S_0071,22-26,Male,Japan,Fukuoka
S_0072,22-26,Female,Mongolia,Ulaanbaatar
S_0073,22-26,Female,Papua New Guinea,Port Moresby
S_0074,18-21,Female,New Zeland,Auckland
S_0075,22-26,Male,USA,Montana
S_0076,22-26,Male,Philippines,Manila
S_0077,22-26,Male,Kiribati,Tarawa
S_0078,43-49,Female,United States,Phoenix Arizona
S_0079,18-21,Female,USA,Washington
S_0080,18-21,Female,United States,Provo Utah
S_0081,18-21,Male,Papua New Guinea,Papua New Guinea
S_0082,22-26,Female,Kiribati,Tarawa
S_0083,22-26,Female,United States,Texas
S_0084,22-26,Female,Tahiti,French Polynesia
S_0085,18-21,Female,Philippines,Lubao
S_0086,22-26,Male,United states,North Carolina
S_0087,22-26,Female,India,Delhi
S_0088,22-26,Female,Tonga,Tongatapu
S_0089,22-26,Male,Fiji,Suva
S_0090,22-26,Female,USA,Hawaii
S_0091,18-21,Female,Tahiti,French Polynesia
S_0092,22-26,Male,Philippines,Legazpi
S_0093,18-21,Female,United States,Newport
S_0094,22-26,Male,India,Hyderabad
S_0095,18-21,Female,Japan,Kanagawa
S_0096,22-26,Female,philippines,manila
S_0097,22-26,Female,United States,Utah
S_0098,43-49,Male,Australia,Queensland
S_0099,22-26,Male,Thailand,Bangkok
S_0100,18-21,Male,"French Polynesia, Tahiti",Pirae
S_0101,22-26,Female,USA,Utah
S_0102,18-21,Female,United States,Utah
S_0103,22-26,Female,US,Utah
S_0104,43-49,Female,United States of America,California
S_0105,32-36,Male,Mongolia,Ulaanbaatar
S_0106,32-36,Male,USA,Wisconsin
S_0107,22-26,Male,United States,"Tooele, UT"
S_0108,22-26,Male,America,Oregon
S_0109,22-26,Male,USA,Hawaii
S_0110,27-31,Male,Philippines,Santiago City
S_0111,50-58,Female,Philippines,Pangasinan
S_0112,22-26,Male,United states,Utah
S_0113,22-26,Female,Philippines,Camarines Sur
S_0114,22-26,Female,Philippines,Pangasinan
S_0115,22-26,Female,United States,Martinsburg
S_0116,22-26,Female,united states of america,Texas
S_0117,50-58,Female,Philippines,"Naga City, Camarines Sur"
S_0118,18-21,Female,United States,CO
S_0119,50-58,Female,USA,West Virginia
S_0120,27-31,Female,Philippines,Camarines Sur
S_0121,22-26,Female,USA,Wisconsin
S_0122,22-26,Female,United States,Utah
S_0123,22-26,Female,USA,"Bluffdale, Utah"
S_0124,22-26,Male,Philippines,Cebu City
S_0125,22-26,Male,Usa,Arizona
S_0126,27-31,Male,Philippines,Davao City
S_0127,27-31,Female,Indonesia,Surakarta
S_0128,22-26,Female,United States,Utah
S_0129,22-26,Male,USA,California
S_0130,27-31,Female,Philippines,Tarlac
S_0131,27-31,Male,USA,Florida
S_0132,22-26,Female,USA,Hawaii
S_0133,22-26,Female,China,Harbin
S_0134,27-31,Female,USA,Utah
S_0135,22-26,Male,Philippines,Baguio City
S_0136,27-31,Male,South Korea,Ulsan
S_0137,27-31,Female,United States,Arizona
S_0138,50-58,Male,United States,Utah
S_0139,27-31,Male,Tarawa,Kiribati
S_0140,22-26,Female,USA,Virginia
S_0141,22-26,Male,United States,Utah
S_0142,22-26,Female,America,California
S_0143,50-58,Male,China,JiangXi
S_0144,22-26,Female,Usa,Nashville
S_0145,32-36,Male,United States,Colorado
S_0146,18-21,Male,Canada,Alberta
S_0147,22-26,Female,Philippines,"Balanga City, Bataan"
S_0148,18-21,Female,Indonesia,Jakarta
S_0149,27-31,Male,USA,LOGAN
S_0150,18-21,Female,Jaoan,Chiba
S_0151,22-26,Female,USA,Utah
S_0152,22-26,Female,USA,Oregon
S_0153,22-26,Female,Tonga,Tongatapu
S_0154,18-21,Male,United States,Utah
S_0155,18-21,Female,New Zealand,Hastings
S_0156,22-26,Female,United States,Utah
S_0157,27-31,Male,PNG,Port Moresby
S_0158,18-21,Male,USA,California
S_0159,22-26,Male,Malaysia,Kuala Lumpur
S_0160,22-26,Male,United States of America,Colorado
S_0161,27-31,Male,United States,"Laie, HI"
S_0162,22-26,Female,Philippines,Iligan
S_0163,22-26,Male,Mongolia,Ulaanbaatar
S_0164,22-26,Female,United States,Oregon
S_0165,22-26,Male,USA,Utah
S_0166,22-26,Male,Tonga,Nuku'alofa
S_0167,18-21,Male,Japan,Sendai
S_0168,18-21,Female,United States,Texas
S_0169,32-36,Male,China,Hebei
S_0170,22-26,Female,Philippines,Pasig City
S_0171,22-26,Female,Japan,Okinawa
S_0172,22-26,Female,China,JiangXi
S_0173,22-26,Female,Philippines,Laguna
S_0174,27-31,Male,Scotland,Aberdeen
S_0175,22-26,Female,Philippines,Hinunangan
S_0176,43-49,Female,Papua New Guinea,Madang
S_0177,32-36,Female,United States,Sacramento
S_0178,22-26,Female,Philippines,Quezon City
S_0179,27-31,Male,Tonga,Liahona
S_0180,37-42,Female,Philipphines,Manila
S_0181,22-26,Female,Philippines,Santiago City
S_0182,22-26,Male,Japan,Tokyo
S_0183,27-31,Male,Philippines,Alicia
S_0184,22-26,Female,Fiji,Suva
S_0185,22-26,Female,United States,Utah
S_0186,27-31,Male,Usa,Nashville
S_0187,18-21,Female,South Korea,Gwangju
S_0188,22-26,Male,Philippines,SURIGAO CITY
S_0189,27-31,Female,Brazil,Sao Paulo
S_0190,22-26,Male,Cook Islands,Hawaii
S_0191,22-26,Male,Philippines,Hawaii
S_0192,18-21,Male,India,Delhi
S_0193,59-64,Female,United States,Hawaii
S_0194,18-21,Male,India,Hyderabad
S_0195,37-42,Male,Mongolia,Ulaanbaatr
S_0196,27-31,Female,Indonesia,Malang
S_0197,22-26,Male,United States,Arizona
S_0198,22-26,Male,Kiribati,Tarawa
S_0199,22-26,Female,USA,Utah
S_0200,22-26,Male,Tonga,Pangai
S_0201,22-26,Female,United States,California
S_0202,18-21,Female,Philippines,Cebu
S_0203,50-58,Female,Philippines,Alicia
S_0204,18-21,Male,America,California
S_0205,27-31,Female,Philippines,Rizal
S_0206,22-26,Female,Philippines,Hawaii
S_0207,18-21,Male,Peru,Arequipa
S_0208,18-21,Male,United States,Utah
S_0209,27-31,Female,United States,Hawaii
S_0210,66-70,Female,United States,Utah
S_0211,22-26,Male,United States,Texas
S_0212,32-36,Male,United States,Oregon
S_0213,22-26,Female,Philippines,Pangasinan
S_0214,18-21,Female,Philippines,Cavite
S_0215,50-58,Female,United States,Utah
S_0216,22-26,Female,Mongolia,Ulaanbaatar
S_0217,27-31,Female,Philippines,Unknown
S_0218,22-26,Male,México,Veracruz
S_0219,27-31,Female,India,Deli
S_0220,22-26,Male,United States,Texas
S_0221,27-31,Male,US,"Hawaii, Laie"
S_0222,22-26,Female,USA,Oregon
S_0223,18-21,Male,Papua New Guinea,"Port Moresby, Papua New Guinea"
S_0224,43-49,Female,United States,"Billings, Montana"
S_0225,22-26,Female,Japan,Okinawa
S_0226,22-26,Female,Samoa,Apia Samoa
S_0227,18-21,Male,Canada,British Columbia
S_0228,43-49,Male,Philippines,Pasig
S_0229,22-26,Male,United States of America,Utah
S_0230,22-26,Female,Brazil,Sao Paulo
S_0231,22-26,Male,Philippines,Cebu
S_0232,22-26,Female,Usa,Phoenix AZ
S_0233,43-49,Male,Tonga,Nuku'alofa
S_0234,22-26,Female,USA,Utah
S_0235,22-26,Male,Philippines,Davao City
S_0236,27-31,Female,Canada,Alberta
S_0237,22-26,Female,Samoa,Unknown
S_0238,22-26,Female,Philippines,Cebu
S_0239,22-26,Male,Tahiti,Faa'a
S_0240,18-21,Male,United states,Laie
S_0241,18-21,Male,Papua New Guinea,Port Moresby
S_0242,50-58,Female,USA,Herriman
S_0243,22-26,Male,Kiribati,Tarawa
S_0244,27-31,Male,Philippines,Isabela
S_0245,18-21,Male,Japan,Gifu (Prefecture)
S_0246,22-26,Female,USA,California
S_0247,32-36,Female,México,Veracruz
S_0248,22-26,Male,Philippines,Binalonan
S_0249,32-36,Male,Indonesia,Central Java
S_0250,18-21,Female,United States,Oregon
S_0251,22-26,Male,Philippines,Dagupan
S_0252,43-49,Female,Philippines,Baguio City
S_0253,22-26,Male,Fiji,Suva
S_0254,22-26,Female,Kiribati,Butaritari
S_0255,22-26,Male,Kingdom of Hawai’i,Makawao
S_0256,22-26,Male,KSA,Dhahran
S_0257,43-49,Female,Philippines,Quezon City
S_0258,22-26,Male,United States,"Wichita Falls, Texas"
S_0259,22-26,Male,USA,West Virginia
S_0260,18-21,Female,Tonga,Haapai
S_0261,18-21,Female,Tonga,Nuku'alofa
S_0262,59-64,Male,Philippines,Cavite city
S_0263,37-42,Female,Japan,Fukuoka
S_0264,22-26,Female,Philippines,Iligan
S_0265,50-58,Female,Philippines,Allen
S_0266,59-64,Female,United States,Hawaii
S_0267,27-31,Female,United States,Texas
S_0268,22-26,Female,Philippines,Ramon
S_0269,18-21,Male,Japan,Sendai
S_0270,18-21,Female,United States,Utah
S_0271,18-21,Female,USA,"Alpine, Utah"
S_0272,22-26,Female,USA,Florida
S_0273,22-26,Female,Kiribati,Tarawa
S_0274,32-36,Female,Philippines,Camarines Sur
S_0275,22-26,Female,USA,Minnesota
S_0276,27-31,Female,USA,Hawaii
S_0277,22-26,Female,China,Hebei
S_0278,18-21,Female,Papua New Guinea,Hawaii
S_0279,27-31,Male,America,Idaho
S_0280,50-58,Female,USA,California
S_0281,22-26,Male,Kiribati,Tarawa
S_0282,37-42,Male,Usa,"Burley, Idaho"
S_0283,22-26,Female,United States,Bluffdale Utah
S_0284,22-26,Male,Philippines,Cebu
S_0285,27-31,Female,USA,Georgia
S_0286,22-26,Female,America,Utah
S_0287,22-26,Male,usa,North Carolina
S_0288,27-31,Female,Japan,Fukuoka
S_0289,22-26,Female,México,Veracruz
S_0290,22-26,Male,United States,Texas
S_0291,22-26,Female,Japan,Ibaraki
S_0292,27-31,Female,United States,California
S_0293,22-26,Male,Philippines,Pasuquin
S_0294,22-26,Male,New Zeland,Auckland
S_0295,18-21,Male,usa,boise
S_0296,32-36,Female,New Zealand,Auckland
S_0297,50-58,Female,Philippines,Dagupan
S_0298,22-26,Male,Mexico,Monterrey
S_0299,22-26,Female,United States,Providence
S_0300,22-26,Female,United States,Arizona
S_0301,18-21,Female,America,Ohio
S_0302,22-26,Female,Australia,Melbourne
S_0303,22-26,Female,United States,Utah
S_0304,22-26,Female,Aotearoa,Hastings
S_0305,22-26,Female,China,Harbin
S_0306,18-21,Female,Philippines,Negros Occidental
S_0307,22-26,Female,Tonga,Fo'ui
S_0308,22-26,Male,Japan,Yamaguchi
S_0309,22-26,Female,United States,Connecticut
S_0310,22-26,Female,USA,"Anchorage, AK"
S_0311,22-26,Male,Japan,"Kagawa prefecture, Kanonji city"
S_0312,18-21,Male,New Zealand,Haruru
S_0313,22-26,Female,Fiji,Suva
S_0314,22-26,Female,Usa,Bountiful Utah
S_0315,22-26,Female,United States,American Samoa
S_0316,27-31,Female,Papua New Guinea,Madang
S_0317,18-21,Female,Philippines,Negros Occidental
S_0318,27-31,Male,PHILIPPINES,MANILA
S_0319,22-26,Male,Philippines,Pasuquin
S_0320,59-64,Female,Philippines,Davao City
S_0321,22-26,Male,Kingdom of Tonga,Haapai
S_0322,18-21,Female,United States,Washington
S_0323,43-49,Male,USA,Washington
S_0324,18-21,Female,Kiribati,Tarawa
S_0325,18-21,Male,United States,New Mexico
S_0326,22-26,Female,USA,Pennsylvania
S_0327,22-26,Female,USA,las vegas
S_0328,50-58,Female,Mongolia,Ulaanbaatar
S_0329,22-26,Female,United States,"Billings, Montana"
S_0330,22-26,Female,new zealand,auckland
S_0331,22-26,Female,Philippines,Antipolo City
S_0332,18-21,Female,India,Chennai
S_0333,18-21,Female,United States,New Mexico
S_0334,22-26,Female,Philippines,Leyte
S_0335,22-26,Female,Philippines,Bulacan
S_0336,18-21,Female,USA,San Francisco
S_0337,43-49,Male,Philippines,Pampanga
S_0338,22-26,Female,Kingdom of Hawai’i,Makawao
S_0339,43-49,Male,México,Tamaulipas
S_0340,18-21,Female,Unite States,"Springville, UT"
S_0341,27-31,Male,mongolia,ub
S_0342,22-26,Female,Tonga,Hateo
S_0343,22-26,Female,United States,Texas
S_0344,22-26,Female,US,Utah
S_0345,27-31,Male,USA,Texas
S_0346,22-26,Female,United States,Texas
S_0347,18-21,Female,America,California
S_0348,27-31,Female,United States,Utah
S_0349,22-26,Male,United States,Hawaii
S_0350,18-21,Female,Philippines,Iligan
S_0351,22-26,Female,United States,Utah
S_0352,18-21,Female,United States,Hawaii
S_0353,43-49,Male,Kiribati,Tarawa
S_0354,18-21,Female,United States,Utah
S_0355,18-21,Female,United States,CO
S_0356,32-36,Female,New Zealand,Haruru
S_0357,22-26,Male,Philippines,Alicia
S_0358,27-31,Male,United States,West Virginia
S_0359,22-26,Female,United States,Utah
S_0360,43-49,Male,Kiribati,Tarawa
S_0361,22-26,Male,Philippines,Muntinlupa
S_0362,27-31,Female,Australia,Melbourne
S_0363,27-31,Female,United States,Oregon
S_0364,18-21,Female,United States,Utah
S_0365,32-36,Female,Philippines,Naga
S_0366,22-26,Female,French Polynesia,Mataiea
S_0367,27-31,Male,Kiribati,South-Tarawa
S_0368,22-26,Female,India,Delhi
S_0369,22-26,Male,America,Las Vegas
S_0370,22-26,Male,Sāmoa,Hawaii
S_0371,27-31,Female,Kingdom of Hawai’i,Makawao
S_0372,22-26,Male,United States,Las Vegas
S_0373,18-21,Male,United States,Orem
S_0374,43-49,Female,Philippines,Hawaii
S_0375,27-31,Male,Philippines,Santiago City
S_0376,22-26,Male,Philippines,Davao City
S_0377,50-58,Female,South Korea,Gwangju
S_0378,22-26,Female,Mexico,Monterrey
S_0379,22-26,Female,Indonesia,Surabaya
S_0380,27-31,Female,USA,California
S_0381,22-26,Female,usa,North Carolina
S_0382,27-31,Male,United States,"Salt Lake City, Utah"
S_0383,22-26,Male,USA,"Edison, New Jersey"
S_0384,22-26,Male,Philippines,Cabatuan
S_0385,18-21,Female,United States,Hawaii
S_0386,50-58,Female,usa,colorado
S_0387,50-58,Female,Philippines,Cavite
S_0388,22-26,Female,Philippines,Rizal
S_0389,27-31,Female,US,HI
S_0390,22-26,Female,Tonga,Nuku’alofa
S_0391,22-26,Female,United States,Utah
S_0392,22-26,Female,USA,Utah
S_0393,27-31,Female,Japan,Kobe
S_0394,50-58,Female,Philippines,Tuguegarao
S_0395,27-31,Female,United States,Utah
S_0396,22-26,Female,Usa,Nashville
S_0397,18-21,Male,United States,Sacramento
S_0398,18-21,Female,Samoa,Apia Samoa
S_0399,18-21,Male,United States,NC
S_0400,18-21,Female,United States,Idaho
S_0401,50-58,Female,Hawaii,Oahu
S_0402,27-31,Male,Philippines,Tuguegarao
S_0403,22-26,Male,USA,"Bountiful, UT"
S_0404,50-58,Female,USA,Utah
S_0405,43-49,Female,United States,Utah
S_0406,37-42,Male,USA,California
S_0407,22-26,Male,Mongolia,Ulaanbaatar
S_0408,22-26,Female,Tonga,Tongatapu
S_0409,22-26,Female,USA,Texas
S_0410,18-21,Male,USA,California
S_0411,22-26,Female,mongolia,ub
S_0412,22-26,Female,Canada,Cardston
S_0413,22-26,Female,Kiribati,South-Tarawa
S_0414,22-26,Female,Philippines,Digos City
S_0415,22-26,Male,India,Delhi
S_0416,43-49,Female,Japan,Fukuoka
S_0417,18-21,Male,Indonesia,Surakarta
S_0418,22-26,Female,United states,Draper Utah
S_0419,18-21,Female,Philippines,"Naga City, Camarines Sur"
S_0420,18-21,Male,United states,Draper Utah
S_0421,22-26,Female,Japan,Saitama
S_0422,50-58,Male,South Korea,Gwangju
S_0423,22-26,Male,US,Sacramento
S_0424,59-64,Female,USA,Hawaii
S_0425,43-49,Male,United States of America,Phoenix arizona
S_0426,18-21,Female,USA,Newport
S_0427,27-31,Female,Canada,Calgary
S_0428,22-26,Male,Japan,Sapporo
S_0429,22-26,Female,America,Utah
S_0430,22-26,Female,tahiti,papeete
S_0431,22-26,Male,Philippines,Unknown
S_0432,22-26,Female,USA,Oregon
S_0433,22-26,Male,United States,Houston
S_0434,18-21,Female,USA,Utah
S_0435,22-26,Female,United States,"Salt Lake City, Utah"
S_0436,18-21,Female,United States,Bluffdale Utah
S_0437,22-26,Female,USA,Colorado
S_0438,22-26,Female,England,London
S_0439,18-21,Female,USA,Utah
S_0440,22-26,Female,usa,colorado
S_0441,50-58,Female,Philippines,Taguig City
S_0442,22-26,Female,papua new guinea,Hawaii
S_0443,22-26,Male,U.S,Hawaii
S_0444,22-26,Female,USA,Georgia
S_0445,43-49,Female,Japan,Nara
S_0446,22-26,Male,USA,CT
S_0447,22-26,Male,USA,Utah
S_0448,22-26,Female,papua new guinea,Hawaii
S_0449,32-36,Female,New Zealand,Hamilton
S_0450,22-26,Female,Mongolia,Ulaanbaatar
S_0451,22-26,Female,USA,"Sandy, Utah"
S_0452,22-26,Male,Tonga,Haapai
S_0453,43-49,Female,Philippines,Pasig
S_0454,22-26,Female,sri lanka,colombo
S_0455,22-26,Male,Philippines,Cebu
S_0456,22-26,Male,New Zealand,Haruru
S_0457,50-58,Female,South Korea,Ulsan
S_0458,22-26,Female,Fiji,Suva
S_0459,18-21,Female,United States,hawaii
S_0460,22-26,Female,Japan,Fukuoka
S_0461,27-31,Male,USA,Utah
S_0462,18-21,Female,Japan,Okinawa
S_0463,43-49,Male,Tahiti,Maraea
S_0464,18-21,Male,Thailand,Chiang Mai
S_0465,18-21,Female,Canada,Alberta
S_0466,18-21,Female,French Polynesia,Tahiti
S_0467,18-21,Female,Philippines,Baguio
S_0468,27-31,Male,tahiti,papeete
S_0469,22-26,Female,Canada,Pincher Creek
S_0470,22-26,Female,America,Texas
S_0471,22-26,Female,Canada,BC
S_0472,22-26,Female,United States,"Lehi, UT"
S_0473,22-26,Female,Taiwan,Taichung City
S_0474,22-26,Female,Philippines,Alicia
S_0475,27-31,Female,United States,Indiana
S_0476,22-26,Female,USA,Hawaii
S_0477,22-26,Female,Japan,Osaka
S_0478,22-26,Male,Kiribati,Tarawa
S_0479,22-26,Male,New Zealand,Hawkes Bay
S_0480,22-26,Female,Tonga,Holonga
S_0481,22-26,Female,USA,Idaho
S_0482,22-26,Male,United states,newport
S_0483,27-31,Male,USA,"Alpine, Utah"
S_0484,32-36,Female,Fiji,Suva
S_0485,22-26,Female,United States,Utah
S_0486,18-21,Female,Philippines,Isabela
S_0487,32-36,Female,Philippines,Cavite
S_0488,22-26,Male,Usa,Spokane
S_0489,22-26,Female,Philippines,Hinunangan
S_0490,22-26,Male,philippines,manila
S_0491,22-26,Female,Tonga,Pangai
S_0492,18-21,Female,Philippines,Laie
S_0493,22-26,Female,US,HI
S_0494,27-31,Female,United States,Utah
S_0495,22-26,Male,Tonga,Nuku'alofa
S_0496,22-26,Female,United States,Montana
S_0497,22-26,Male,united states of america,Texas
S_0498,22-26,Female,papua new guinea,Hawaii
S_0499,18-21,Female,USA,Virginia
S_0500,18-21,Female,Malaysia,bintulu
S_0501,22-26,Male,Malaysia,Perak state
S_0502,22-26,Female,United State,Utah
S_0503,43-49,Female,Philippines,Pasuquin
S_0504,18-21,Male,Mexico,Monterrey
S_0505,50-58,Female,United States of America,"Salt Lake City, Utah"
S_0506,18-21,Female,United States,Provo
S_0507,22-26,Male,USA,Hawaii
S_0508,22-26,Male,Philippines,Hawaii
S_0509,22-26,Female,Philippines,Malaybalay
S_0510,22-26,Female,USA,oceanside
S_0511,27-31,Female,United States,Colorado
S_0512,22-26,Female,United States,Virginia
S_0513,18-21,Male,United States,Utah
S_0514,22-26,Female,USA,Utah
S_0515,37-42,Female,India,New Delhi
S_0516,27-31,Male,Papua New Guinea,"Port Moresby, Papua New Guinea"
S_0517,22-26,Female,United States,Utah
S_0518,32-36,Male,Fiji,Lautoka
S_0519,22-26,Female,United States of America,Colorado
S_0520,18-21,Female,Fiji,Suva
S_0521,18-21,Female,United State,California
S_0522,22-26,Male,Tonga,Fo'ui
S_0523,22-26,Male,United States,Orem
S_0524,18-21,Male,Philippines,Santa Barbara
S_0525,22-26,Female,New Zealand,Bay Of islands
S_0526,18-21,Male,Indonesia,Surakarta
S_0527,18-21,Female,United States,Utah
S_0528,22-26,Male,United States,Utah
S_0529,22-26,Female,United States,California
S_0530,22-26,Female,Philippines,Laguna
S_0531,50-58,Female,USA,California
S_0532,18-21,Male,America,Ohio
S_0533,22-26,Female,Tahiti,French Polynesia
S_0534,27-31,Female,Philippines,Baguio
S_0535,50-58,Male,United States,"Mesa, AZ"
S_0536,22-26,Male,Kiribati,Tarawa
S_0537,22-26,Female,Sri Lanka,Negombo
S_0538,32-36,Female,United States,"Wichita Falls, Texas"
S_0539,22-26,Female,United States of America,Phoenix arizona
S_0540,22-26,Female,Mongolia,Ulaanbaatar
S_0541,18-21,Male,Philippines,Negros Occidental
S_0542,22-26,Female,USA,Sacramento
S_0543,27-31,Male,Philippines,Valenzuela
S_0544,22-26,Female,United States,Utah
S_0545,22-26,Female,USA,Washington
S_0546,27-31,Female,United States,Utah
S_0547,22-26,Female,China,Chengdu
S_0548,18-21,Female,USA,Arizona
S_0549,22-26,Female,Philippines,Gensan City
S_0550,18-21,Male,USA,Utah
S_0551,22-26,Female,Philippines,Tacloban
S_0552,22-26,Male,Philippines,Taguig
S_0553,18-21,Male,United States,"Wichita Falls, Texas"
S_0554,22-26,Male,Philippines,Unknown
S_0555,18-21,Female,USA,Hawaii
S_0556,18-21,Female,Malaysia,Subang Jaya
S_0557,22-26,Male,United States,Hawaii
S_0558,22-26,Female,Hong Kong,Hong Kong
S_0559,22-26,Female,India,Delhi
S_0560,18-21,Male,Tahiti,French Polynesia
S_0561,22-26,Female,Canada,Pincher Creek
S_0562,22-26,Male,México,Veracruz
S_0563,43-49,Female,United States,Bountiful
S_0564,22-26,Male,Australia,Gold Coast
S_0565,22-26,Male,United States,UT
S_0566,22-26,Male,Philippines,Hinunangan
S_0567,37-42,Female,New Zealand,Hamilton
S_0568,22-26,Male,Mexico,Nuevo Leon
S_0569,22-26,Male,Japan,Toride
S_0570,27-31,Female,US,West Virginia
S_0571,22-26,Male,United States,Missouri
S_0572,22-26,Male,USA,Guam
S_0573,22-26,Female,Hong Kong,Hong Kong
S_0574,27-31,Male,Fiji,Lautoka
S_0575,43-49,Male,USA,Utah
S_0576,43-49,Female,Philippines,Binalonan
S_0577,22-26,Female,China,Hebei
S_0578,22-26,Male,Philippines,Antipolo City
S_0579,18-21,Female,USA,Virginia
S_0580,22-26,Male,United States,"Salt Lake City, Utah"
S_0581,22-26,Female,USA,California/Hawaii
S_0582,43-49,Female,Unite States,"Springville, UT"
S_0583,22-26,Male,Fiji,Suva
S_0584,22-26,Male,USA,Oregon
S_0585,27-31,Female,Vietnam,Dong Xoai
S_0586,22-26,Male,United States,Loganville
S_0587,22-26,Female,French Polynesia,Marquesas Islands
S_0588,22-26,Female,Korea,Seoul
S_0589,43-49,Female,Philippines,"Balanga City, Bataan"
S_0590,27-31,Female,United States,Provo Utah
S_0591,22-26,Male,Kiribati,Tarawa
S_0592,22-26,Female,Philippines,Dagupan
S_0593,22-26,Female,Mexico,Mexico city
S_0594,37-42,Female,United States,Washington
S_0595,22-26,Female,Fiji,Suva
S_0596,22-26,Male,Tarawa,Kiribati
S_0597,43-49,Female,Indonesia,Bogor
S_0598,22-26,Male,Usa,Spokane
S_0599,18-21,Male,United States,Utah
S_0600,22-26,Male,Malaysia,Perak state
S_0601,66-70,Male,USA,California/Hawaii
S_0602,22-26,Female,USA,NY
S_0603,22-26,Female,United states,Draper Utah
S_0604,27-31,Female,USA,Utah
S_0605,22-26,Female,Samoa,Apia Samoa
S_0606,18-21,Female,Philippines,Pangasinan
S_0607,18-21,Female,Kiribati,Tarawa
S_0608,22-26,Female,USA,Colorado
S_0609,18-21,Female,Philippines,Hawaii
S_0610,22-26,Male,USA,Arizona
S_0611,43-49,Female,Japan,Sendai
S_0612,22-26,Female,Samoa,Apia
S_0613,22-26,Male,United States,Bluffdale Utah
S_0614,18-21,Male,Philippines,Cebu
S_0615,22-26,Female,america,michigan
S_0616,22-26,Male,America,California
S_0617,27-31,Female,Philippines,Malasiqui
S_0618,27-31,Female,Philippines,Alicia
S_0619,59-64,Male,México,Veracruz
S_0620,18-21,Female,Mexico,Mexico city
S_0621,22-26,Female,USA,Colorado
S_0622,22-26,Female,Japan,Kannonnji
S_0623,18-21,Female,Cook Islands,Hawaii
S_0624,43-49,Female,United States,Minnesota
S_0625,22-26,Female,USA,"Alpine, Utah"
S_0626,18-21,Male,India,Hyderabad
S_0627,18-21,Female,Indonesia,Jakarta
S_0628,27-31,Female,Usa,Utah
S_0629,22-26,Female,USA,"Bountiful, UT"
S_0630,22-26,Female,U.S,Hawaii
S_0631,50-58,Female,Mexico,Veracruz
