model,conditioning_arm,q_id,js_human_arm,n_arm
gpt4,demo_only,q10_4,0.4201827079309763,520
claude,demo_plus_traits,q4_1,0.36139613225872774,520
claude,demo_plus_traits,q4_2,0.40148676799253613,520
claude,demo_plus_traits,q4_3,0.2864591398904067,520
claude,demo_plus_traits,q4_4,0.5526858019211079,520
claude,demo_plus_traits,q4_5,0.5173382949833892,520
claude,demo_plus_traits,q4_6,0.6123050792695869,520
claude,demo_plus_traits,q4_7,0.42520023929949335,520
claude,demo_plus_traits,q5_1,0.23847413918116553,520
claude,demo_plus_traits,q5_2,0.20237186173480767,520
claude,demo_plus_traits,q5_3,0.46650137398047536,520
claude,demo_plus_traits,q5_4,0.4512351196288219,520
claude,demo_plus_traits,q5_5,0.26522724551404836,520
claude,demo_plus_traits,q5_6,0.461679094758187,520
claude,demo_plus_traits,q5_7,0.5323419493368667,520
claude,demo_plus_traits,q5_8,0.2950405331343474,520
claude,demo_plus_traits,q7_1,0.32408663588984654,520
claude,demo_plus_traits,q7_2,0.40497217658247403,520
claude,demo_plus_traits,q7_3,0.22847828318116806,520
claude,demo_plus_traits,q7_4,0.460515158193572,520
claude,demo_plus_traits,q7_5,0.47796760500417024,520
claude,demo_plus_traits,q7_6,0.46650412864714424,520
claude,demo_plus_traits,q9_1,0.27609503655832335,520
claude,demo_plus_traits,q9_2,0.48438931749395514,520
claude,demo_plus_traits,q9_3,0.5424973862928499,520
claude,demo_plus_traits,q10_1,0.279516955486728,520
claude,demo_plus_traits,q10_2,0.4627444897967944,520
claude,demo_plus_traits,q10_3,0.5515102729720107,520
claude,demo_plus_traits,q10_4,0.39121293825138026,520
claude,demo_only,q4_1,0.39705308998373146,520
claude,demo_only,q4_2,0.4243256252270126,520
claude,demo_only,q4_3,0.2708752131970767,520
claude,demo_only,q4_4,0.6208211521847907,520
claude,demo_only,q4_5,0.6070877416500762,520
claude,demo_only,q4_6,0.6877013788835076,520
claude,demo_only,q4_7,0.45925010402912186,520
claude,demo_only,q5_1,0.27116524187298274,520
claude,demo_only,q5_2,0.23107853235330117,520
claude,demo_only,q5_3,0.48192141743862765,520
claude,demo_only,q5_4,0.4657114059584505,520
claude,demo_only,q5_5,0.4251765160348093,520
claude,demo_only,q5_6,0.4737230317466487,520
claude,demo_only,q5_7,0.6442365927210141,520
claude,demo_only,q5_8,0.42361983071473386,520
claude,demo_only,q7_1,0.2254001780660908,520
claude,demo_only,q7_2,0.40044453701086064,520
claude,demo_only,q7_3,0.20406989916305077,520
claude,demo_only,q7_4,0.4595243327051079,520
claude,demo_only,q7_5,0.444406685664423,520
claude,demo_only,q7_6,0.5087640620987508,520
claude,demo_only,q9_1,0.4220117955258835,520
claude,demo_only,q9_2,0.6133137302524311,520
claude,demo_only,q9_3,0.6614666704608613,520
claude,demo_only,q10_1,0.38550107953710966,520
claude,demo_only,q10_2,0.5660489189140137,520
claude,demo_only,q10_3,0.627172207634771,520
claude,demo_only,q10_4,0.40609679982700797,520
